dm32          sin^2(theta23)  DeltaChi2 
0.0018506     0.315           27.379 
0.0018506     0.325           25.294 
0.0018506     0.335           23.449 
0.0018506     0.345           21.828 
0.0018506     0.355           20.415 
0.0018506     0.365           19.194 
0.0018506     0.375           18.149 
0.0018506     0.385           17.264 
0.0018506     0.395           16.522 
0.0018506     0.405           15.909 
0.0018506     0.415           15.409 
0.0018506     0.425           15.009 
0.0018506     0.435           14.696 
0.0018506     0.445           14.457 
0.0018506     0.455           14.283 
0.0018506     0.465           14.164 
0.0018506     0.475           14.093 
0.0018506     0.485           14.065 
0.0018506     0.495           14.075 
0.0018506     0.505           14.121 
0.0018506     0.515           14.203 
0.0018506     0.525           14.322 
0.0018506     0.535           14.482 
0.0018506     0.545           14.688 
0.0018506     0.555           14.946 
0.0018506     0.565           15.265 
0.0018506     0.575           15.654 
0.0018506     0.585           16.126 
0.0018506     0.595           16.693 
0.0018506     0.605           17.368 
0.0018506     0.615           18.165 
0.0018506     0.625           19.101 
0.0018506     0.635           20.190 
0.0018506     0.645           21.450 
0.0018506     0.655           22.896 
0.0018506     0.665           24.545 
0.0018506     0.675           26.412 
0.0018506     0.685           28.513 
0.0018506     0.695           30.863 
0.0018506     0.705           33.476 
0.0018506     0.715           36.366 
0.0018506     0.725           39.545 
0.0018506     0.735           43.024 
0.0018506     0.745           46.812 
0.0018866     0.245           47.651 
0.0018866     0.255           43.493 
0.0018866     0.265           39.660 
0.0018866     0.275           36.142 
0.0018866     0.285           32.931 
0.0018866     0.295           30.016 
0.0018866     0.305           27.385 
0.0018866     0.315           25.025 
0.0018866     0.325           22.922 
0.0018866     0.335           21.061 
0.0018866     0.345           19.427 
0.0018866     0.355           18.003 
0.0018866     0.365           16.773 
0.0018866     0.375           15.721 
0.0018866     0.385           14.830 
0.0018866     0.395           14.084 
0.0018866     0.405           13.467 
0.0018866     0.415           12.964 
0.0018866     0.425           12.562 
0.0018866     0.435           12.246 
0.0018866     0.445           12.006 
0.0018866     0.455           11.830 
0.0018866     0.465           11.709 
0.0018866     0.475           11.636 
0.0018866     0.485           11.604 
0.0018866     0.495           11.611 
0.0018866     0.505           11.654 
0.0018866     0.515           11.732 
0.0018866     0.525           11.846 
0.0018866     0.535           12.002 
0.0018866     0.545           12.202 
0.0018866     0.555           12.455 
0.0018866     0.565           12.769 
0.0018866     0.575           13.153 
0.0018866     0.585           13.620 
0.0018866     0.595           14.183 
0.0018866     0.605           14.854 
0.0018866     0.615           15.649 
0.0018866     0.625           16.584 
0.0018866     0.635           17.673 
0.0018866     0.645           18.935 
0.0018866     0.655           20.385 
