dm32           sin^2(theta23)  DeltaChi2 
-0.0019654     0.695           27.050 
-0.0019654     0.705           29.870 
-0.0019654     0.715           32.978 
-0.0019654     0.725           36.383 
-0.0019654     0.735           40.097 
-0.0019654     0.745           44.128 
-0.0020014     0.245           41.851 
-0.0020014     0.255           37.763 
-0.0020014     0.265           34.002 
-0.0020014     0.275           30.561 
-0.0020014     0.285           27.428 
-0.0020014     0.295           24.592 
-0.0020014     0.305           22.039 
-0.0020014     0.315           19.756 
-0.0020014     0.325           17.726 
-0.0020014     0.335           15.934 
-0.0020014     0.345           14.365 
-0.0020014     0.355           13.000 
-0.0020014     0.365           11.824 
-0.0020014     0.375           10.819 
-0.0020014     0.385            9.968 
-0.0020014     0.395            9.256 
-0.0020014     0.405            8.666 
-0.0020014     0.415            8.184 
-0.0020014     0.425            7.795 
-0.0020014     0.435            7.488 
-0.0020014     0.445            7.251 
-0.0020014     0.455            7.074 
-0.0020014     0.465            6.948 
-0.0020014     0.475            6.869 
-0.0020014     0.485            6.829 
-0.0020014     0.495            6.828 
-0.0020014     0.505            6.863 
-0.0020014     0.515            6.937 
-0.0020014     0.525            7.050 
-0.0020014     0.535            7.209 
-0.0020014     0.545            7.420 
-0.0020014     0.555            7.690 
-0.0020014     0.565            8.030 
-0.0020014     0.575            8.450 
-0.0020014     0.585            8.963 
-0.0020014     0.595            9.583 
-0.0020014     0.605           10.324 
-0.0020014     0.615           11.201 
-0.0020014     0.625           12.231 
-0.0020014     0.635           13.430 
-0.0020014     0.645           14.814 
-0.0020014     0.655           16.400 
-0.0020014     0.665           18.205 
-0.0020014     0.675           20.243 
-0.0020014     0.685           22.531 
-0.0020014     0.695           25.083 
-0.0020014     0.705           27.912 
-0.0020014     0.715           31.031 
-0.0020014     0.725           34.452 
-0.0020014     0.735           38.185 
-0.0020014     0.745           42.239 
-0.0020374     0.245           40.346 
-0.0020374     0.255           36.232 
-0.0020374     0.265           32.450 
-0.0020374     0.275           28.991 
-0.0020374     0.285           25.842 
-0.0020374     0.295           22.993 
-0.0020374     0.305           20.430 
-0.0020374     0.315           18.139 
-0.0020374     0.325           16.103 
-0.0020374     0.335           14.308 
-0.0020374     0.345           12.736 
-0.0020374     0.355           11.371 
-0.0020374     0.365           10.195 
-0.0020374     0.375            9.191 
-0.0020374     0.385            8.342 
-0.0020374     0.395            7.632 
-0.0020374     0.405            7.045 
-0.0020374     0.415            6.565 
-0.0020374     0.425            6.179 
-0.0020374     0.435            5.874 
-0.0020374     0.445            5.638 
-0.0020374     0.455            5.461 
-0.0020374     0.465            5.336 
-0.0020374     0.475            5.255 
-0.0020374     0.485            5.214 
-0.0020374     0.495            5.210 
-0.0020374     0.505            5.241 
-0.0020374     0.515            5.309 
-0.0020374     0.525            5.417 
-0.0020374     0.535            5.569 
-0.0020374     0.545            5.771 
-0.0020374     0.555            6.033 
-0.0020374     0.565            6.363 
-0.0020374     0.575            6.773 
-0.0020374     0.585            7.276 
-0.0020374     0.595            7.886 
-0.0020374     0.605            8.616 
-0.0020374     0.615            9.484 
-0.0020374     0.625           10.505 
-0.0020374     0.635           11.695 
-0.0020374     0.645           13.072 
-0.0020374     0.655           14.652 
-0.0020374     0.665           16.451 
-0.0020374     0.675           18.487 
-0.0020374     0.685           20.774 
-0.0020374     0.695           23.328 
-0.0020374     0.705           26.161 
-0.0020374     0.715           29.288 
-0.0020374     0.725           32.719 
-0.0020374     0.735           36.465 
-0.0020374     0.745           40.535 
-0.0020734     0.245           39.024 
-0.0020734     0.255           34.890 
-0.0020734     0.265           31.091 
-0.0020734     0.275           27.618 
-0.0020734     0.285           24.458 
-0.0020734     0.295           21.601 
-0.0020734     0.305           19.031 
-0.0020734     0.315           16.735 
-0.0020734     0.325           14.698 
-0.0020734     0.335           12.901 
-0.0020734     0.345           11.330 
-0.0020734     0.355            9.967 
-0.0020734     0.365            8.794 
-0.0020734     0.375            7.793 
-0.0020734     0.385            6.948 
-0.0020734     0.395            6.242 
-0.0020734     0.405            5.659 
-0.0020734     0.415            5.183 
-0.0020734     0.425            4.801 
-0.0020734     0.435            4.498 
-0.0020734     0.445            4.265 
-0.0020734     0.455            4.089 
-0.0020734     0.465            3.964 
-0.0020734     0.475            3.883 
-0.0020734     0.485            3.839 
-0.0020734     0.495            3.832 
-0.0020734     0.505            3.859 
-0.0020734     0.515            3.921 
-0.0020734     0.525            4.022 
-0.0020734     0.535            4.166 
-0.0020734     0.545            4.360 
-0.0020734     0.555            4.611 
-0.0020734     0.565            4.931 
-0.0020734     0.575            5.330 
-0.0020734     0.585            5.821 
-0.0020734     0.595            6.418 
-0.0020734     0.605            7.136 
-0.0020734     0.615            7.991 
-0.0020734     0.625            9.000 
-0.0020734     0.635           10.179 
-0.0020734     0.645           11.545 
-0.0020734     0.655           13.116 
-0.0020734     0.665           14.908 
-0.0020734     0.675           16.937 
-0.0020734     0.685           19.220 
-0.0020734     0.695           21.771 
-0.0020734     0.705           24.604 
-0.0020734     0.715           27.733 
-0.0020734     0.725           31.170 
-0.0020734     0.735           34.924 
-0.0020734     0.745           39.005 
-0.0021094     0.245           37.877 
-0.0021094     0.255           33.729 
-0.0021094     0.265           29.918 
-0.0021094     0.275           26.435 
-0.0021094     0.285           23.268 
-0.0021094     0.295           20.405 
-0.0021094     0.305           17.832 
-0.0021094     0.315           15.535 
-0.0021094     0.325           13.498 
