dm32           sin^2(theta23)  DeltaChi2 
-0.0024334     0.745           32.537 
-0.0024694     0.245           35.273 
-0.0024694     0.255           31.160 
-0.0024694     0.265           27.397 
-0.0024694     0.275           23.974 
-0.0024694     0.285           20.878 
-0.0024694     0.295           18.095 
-0.0024694     0.305           15.610 
-0.0024694     0.315           13.407 
-0.0024694     0.325           11.469 
-0.0024694     0.335            9.777 
-0.0024694     0.345            8.312 
-0.0024694     0.355            7.057 
-0.0024694     0.365            5.990 
-0.0024694     0.375            5.094 
-0.0024694     0.385            4.348 
-0.0024694     0.395            3.736 
-0.0024694     0.405            3.237 
-0.0024694     0.415            2.837 
-0.0024694     0.425            2.519 
-0.0024694     0.435            2.269 
-0.0024694     0.445            2.074 
-0.0024694     0.455            1.923 
-0.0024694     0.465            1.807 
-0.0024694     0.475            1.718 
-0.0024694     0.485            1.651 
-0.0024694     0.495            1.602 
-0.0024694     0.505            1.571 
-0.0024694     0.515            1.559 
-0.0024694     0.525            1.567 
-0.0024694     0.535            1.603 
-0.0024694     0.545            1.671 
-0.0024694     0.555            1.783 
-0.0024694     0.565            1.948 
-0.0024694     0.575            2.180 
-0.0024694     0.585            2.492 
-0.0024694     0.595            2.899 
-0.0024694     0.605            3.418 
-0.0024694     0.615            4.068 
-0.0024694     0.625            4.865 
-0.0024694     0.635            5.829 
-0.0024694     0.645            6.978 
-0.0024694     0.655            8.332 
-0.0024694     0.665            9.910 
-0.0024694     0.675           11.730 
-0.0024694     0.685           13.809 
-0.0024694     0.695           16.165 
-0.0024694     0.705           18.815 
-0.0024694     0.715           21.772 
-0.0024694     0.725           25.051 
-0.0024694     0.735           28.663 
-0.0024694     0.745           32.619 
-0.0025054     0.245           35.708 
-0.0025054     0.255           31.613 
-0.0025054     0.265           27.868 
-0.0025054     0.275           24.463 
-0.0025054     0.285           21.384 
-0.0025054     0.295           18.619 
-0.0025054     0.305           16.151 
-0.0025054     0.315           13.965 
-0.0025054     0.325           12.043 
-0.0025054     0.335           10.367 
-0.0025054     0.345            8.919 
-0.0025054     0.355            7.677 
-0.0025054     0.365            6.625 
-0.0025054     0.375            5.741 
-0.0025054     0.385            5.008 
-0.0025054     0.395            4.406 
-0.0025054     0.405            3.917 
-0.0025054     0.415            3.525 
-0.0025054     0.425            3.214 
-0.0025054     0.435            2.970 
-0.0025054     0.445            2.779 
-0.0025054     0.455            2.631 
-0.0025054     0.465            2.515 
-0.0025054     0.475            2.426 
-0.0025054     0.485            2.357 
-0.0025054     0.495            2.304 
-0.0025054     0.505            2.268 
-0.0025054     0.515            2.248 
-0.0025054     0.525            2.247 
-0.0025054     0.535            2.272 
-0.0025054     0.545            2.329 
-0.0025054     0.555            2.427 
-0.0025054     0.565            2.577 
-0.0025054     0.575            2.792 
-0.0025054     0.585            3.085 
-0.0025054     0.595            3.473 
-0.0025054     0.605            3.972 
-0.0025054     0.615            4.599 
-0.0025054     0.625            5.373 
-0.0025054     0.635            6.312 
-0.0025054     0.645            7.437 
-0.0025054     0.655            8.765 
-0.0025054     0.665           10.316 
-0.0025054     0.675           12.108 
-0.0025054     0.685           14.160 
-0.0025054     0.695           16.489 
-0.0025054     0.705           19.110 
-0.0025054     0.715           22.038 
-0.0025054     0.725           25.289 
-0.0025054     0.735           28.872 
-0.0025054     0.745           32.800 
-0.0025414     0.245           36.243 
-0.0025414     0.255           32.168 
-0.0025414     0.265           28.442 
-0.0025414     0.275           25.056 
-0.0025414     0.285           21.997 
-0.0025414     0.295           19.250 
-0.0025414     0.305           16.801 
-0.0025414     0.315           14.633 
-0.0025414     0.325           12.728 
-0.0025414     0.335           11.069 
-0.0025414     0.345            9.636 
-0.0025414     0.355            8.409 
-0.0025414     0.365            7.371 
-0.0025414     0.375            6.501 
-0.0025414     0.385            5.779 
-0.0025414     0.395            5.188 
-0.0025414     0.405            4.709 
-0.0025414     0.415            4.325 
-0.0025414     0.425            4.021 
-0.0025414     0.435            3.782 
-0.0025414     0.445            3.595 
-0.0025414     0.455            3.450 
-0.0025414     0.465            3.335 
-0.0025414     0.475            3.245 
-0.0025414     0.485            3.174 
-0.0025414     0.495            3.117 
-0.0025414     0.505            3.075 
-0.0025414     0.515            3.048 
-0.0025414     0.525            3.039 
-0.0025414     0.535            3.053 
-0.0025414     0.545            3.098 
-0.0025414     0.555            3.182 
-0.0025414     0.565            3.316 
-0.0025414     0.575            3.514 
-0.0025414     0.585            3.789 
-0.0025414     0.595            4.157 
-0.0025414     0.605            4.635 
-0.0025414     0.615            5.240 
-0.0025414     0.625            5.990 
-0.0025414     0.635            6.905 
-0.0025414     0.645            8.004 
-0.0025414     0.655            9.306 
-0.0025414     0.665           10.829 
-0.0025414     0.675           12.594 
-0.0025414     0.685           14.617 
-0.0025414     0.695           16.916 
-0.0025414     0.705           19.508 
-0.0025414     0.715           22.407 
-0.0025414     0.725           25.627 
-0.0025414     0.735           29.180 
-0.0025414     0.745           33.078 
-0.0025774     0.245           36.874 
-0.0025774     0.255           32.820 
-0.0025774     0.265           29.116 
-0.0025774     0.275           25.751 
-0.0025774     0.285           22.712 
-0.0025774     0.295           19.985 
-0.0025774     0.305           17.556 
-0.0025774     0.315           15.406 
-0.0025774     0.325           13.520 
-0.0025774     0.335           11.877 
-0.0025774     0.345           10.461 
-0.0025774     0.355            9.250 
-0.0025774     0.365            8.226 
-0.0025774     0.375            7.369 
-0.0025774     0.385            6.660 
-0.0025774     0.395            6.080 
-0.0025774     0.405            5.611 
-0.0025774     0.415            5.236 
-0.0025774     0.425            4.939 
-0.0025774     0.435            4.705 
-0.0025774     0.445            4.523 
-0.0025774     0.455            4.379 
-0.0025774     0.465            4.266 
-0.0025774     0.475            4.175 
-0.0025774     0.485            4.101 
-0.0025774     0.495            4.041 
-0.0025774     0.505            3.993 
-0.0025774     0.515            3.959 
-0.0025774     0.525            3.941 
-0.0025774     0.535            3.944 
-0.0025774     0.545            3.976 
-0.0025774     0.555            4.047 
-0.0025774     0.565            4.166 
-0.0025774     0.575            4.347 
-0.0025774     0.585            4.603 
-0.0025774     0.595            4.951 
-0.0025774     0.605            5.408 
-0.0025774     0.615            5.990 
-0.0025774     0.625            6.716 
-0.0025774     0.635            7.606 
-0.0025774     0.645            8.678 
-0.0025774     0.655            9.953 
-0.0025774     0.665           11.448 
-0.0025774     0.675           13.183 
-0.0025774     0.685           15.177 
-0.0025774     0.695           17.446 
-0.0025774     0.705           20.006 
-0.0025774     0.715           22.873 
-0.0025774     0.725           26.062 
-0.0025774     0.735           29.583 
-0.0025774     0.745           33.449 
-0.0026134     0.245           37.596 
-0.0026134     0.255           33.566 
-0.0026134     0.265           29.885 
-0.0026134     0.275           26.543 
-0.0026134     0.285           23.526 
-0.0026134     0.295           20.821 
-0.0026134     0.305           18.412 
-0.0026134     0.315           16.282 
-0.0026134     0.325           14.415 
-0.0026134     0.335           12.791 
-0.0026134     0.345           11.392 
-0.0026134     0.355           10.198 
-0.0026134     0.365            9.189 
-0.0026134     0.375            8.347 
-0.0026134     0.385            7.650 
-0.0026134     0.395            7.082 
-0.0026134     0.405            6.623 
-0.0026134     0.415            6.256 
-0.0026134     0.425            5.967 
-0.0026134     0.435            5.739 
-0.0026134     0.445            5.561 
-0.0026134     0.455            5.420 
-0.0026134     0.465            5.308 
-0.0026134     0.475            5.216 
-0.0026134     0.485            5.140 
-0.0026134     0.495            5.076 
-0.0026134     0.505            5.023 
-0.0026134     0.515            4.981 
-0.0026134     0.525            4.954 
-0.0026134     0.535            4.946 
-0.0026134     0.545            4.966 
-0.0026134     0.555            5.022 
-0.0026134     0.565            5.126 
-0.0026134     0.575            5.289 
-0.0026134     0.585            5.527 
-0.0026134     0.595            5.855 
-0.0026134     0.605            6.289 
-0.0026134     0.615            6.848 
-0.0026134     0.625            7.550 
-0.0026134     0.635            8.413 
-0.0026134     0.645            9.459 
-0.0026134     0.655           10.705 
-0.0026134     0.665           12.171 
-0.0026134     0.675           13.876 
-0.0026134     0.685           15.838 
-0.0026134     0.695           18.074 
-0.0026134     0.705           20.602 
-0.0026134     0.715           23.436 
-0.0026134     0.725           26.591 
-0.0026134     0.735           30.078 
-0.0026134     0.745           33.909 
-0.0026494     0.245           38.403 
-0.0026494     0.255           34.399 
-0.0026494     0.265           30.743 
-0.0026494     0.275           27.426 
-0.0026494     0.285           24.433 
-0.0026494     0.295           21.751 
-0.0026494     0.305           19.365 
-0.0026494     0.315           17.258 
-0.0026494     0.325           15.411 
-0.0026494     0.335           13.807 
-0.0026494     0.345           12.427 
-0.0026494     0.355           11.250 
-0.0026494     0.365           10.258 
-0.0026494     0.375            9.430 
-0.0026494     0.385            8.747 
-0.0026494     0.395            8.191 
-0.0026494     0.405            7.743 
-0.0026494     0.415            7.386 
-0.0026494     0.425            7.105 
-0.0026494     0.435            6.883 
-0.0026494     0.445            6.709 
-0.0026494     0.455            6.572 
-0.0026494     0.465            6.461 
-0.0026494     0.475            6.369 
-0.0026494     0.485            6.291 
-0.0026494     0.495            6.223 
-0.0026494     0.505            6.164 
-0.0026494     0.515            6.114 
-0.0026494     0.525            6.078 
-0.0026494     0.535            6.060 
-0.0026494     0.545            6.067 
-0.0026494     0.555            6.109 
-0.0026494     0.565            6.196 
-0.0026494     0.575            6.342 
-0.0026494     0.585            6.560 
-0.0026494     0.595            6.867 
-0.0026494     0.605            7.278 
-0.0026494     0.615            7.813 
-0.0026494     0.625            8.489 
-0.0026494     0.635            9.326 
-0.0026494     0.645           10.343 
-0.0026494     0.655           11.559 
-0.0026494     0.665           12.994 
-0.0026494     0.675           14.668 
-0.0026494     0.685           16.597 
-0.0026494     0.695           18.800 
-0.0026494     0.705           21.293 
-0.0026494     0.715           24.091 
-0.0026494     0.725           27.210 
-0.0026494     0.735           30.660 
-0.0026494     0.745           34.454 
-0.0026854     0.245           39.288 
-0.0026854     0.255           35.313 
-0.0026854     0.265           31.685 
-0.0026854     0.275           28.395 
-0.0026854     0.285           25.428 
-0.0026854     0.295           22.772 
-0.0026854     0.305           20.410 
-0.0026854     0.315           18.326 
-0.0026854     0.325           16.502 
-0.0026854     0.335           14.920 
-0.0026854     0.345           13.560 
-0.0026854     0.355           12.402 
-0.0026854     0.365           11.427 
-0.0026854     0.375           10.616 
-0.0026854     0.385            9.948 
-0.0026854     0.395            9.405 
-0.0026854     0.405            8.969 
-0.0026854     0.415            8.622 
-0.0026854     0.425            8.349 
-0.0026854     0.435            8.135 
-0.0026854     0.445            7.966 
-0.0026854     0.455            7.832 
-0.0026854     0.465            7.722 
-0.0026854     0.475            7.630 
-0.0026854     0.485            7.550 
-0.0026854     0.495            7.478 
-0.0026854     0.505            7.414 
-0.0026854     0.515            7.357 
-0.0026854     0.525            7.311 
-0.0026854     0.535            7.282 
-0.0026854     0.545            7.276 
-0.0026854     0.555            7.303 
-0.0026854     0.565            7.374 
-0.0026854     0.575            7.501 
-0.0026854     0.585            7.699 
-0.0026854     0.595            7.984 
-0.0026854     0.605            8.372 
-0.0026854     0.615            8.882 
-0.0026854     0.625            9.531 
-0.0026854     0.635           10.340 
-0.0026854     0.645           11.327 
-0.0026854     0.655           12.512 
-0.0026854     0.665           13.915 
-0.0026854     0.675           15.555 
-0.0026854     0.685           17.450 
-0.0026854     0.695           19.617 
-0.0026854     0.705           22.073 
-0.0026854     0.715           24.834 
-0.0026854     0.725           27.914 
-0.0026854     0.735           31.326 
-0.0026854     0.745           35.080 
-0.0027214     0.245           40.246 
-0.0027214     0.255           36.301 
-0.0027214     0.265           32.704 
-0.0027214     0.275           29.443 
-0.0027214     0.285           26.505 
-0.0027214     0.295           23.876 
-0.0027214     0.305           21.541 
-0.0027214     0.315           19.482 
-0.0027214     0.325           17.683 
-0.0027214     0.335           16.123 
-0.0027214     0.345           14.785 
-0.0027214     0.355           13.647 
-0.0027214     0.365           12.692 
-0.0027214     0.375           11.898 
-0.0027214     0.385           11.246 
-0.0027214     0.395           10.717 
-0.0027214     0.405           10.293 
-0.0027214     0.415            9.958 
-0.0027214     0.425            9.694 
-0.0027214     0.435            9.487 
-0.0027214     0.445            9.324 
-0.0027214     0.455            9.194 
-0.0027214     0.465            9.086 
-0.0027214     0.475            8.995 
-0.0027214     0.485            8.913 
-0.0027214     0.495            8.837 
-0.0027214     0.505            8.767 
-0.0027214     0.515            8.703 
-0.0027214     0.525            8.648 
-0.0027214     0.535            8.607 
-0.0027214     0.545            8.588 
-0.0027214     0.555            8.600 
-0.0027214     0.565            8.654 
-0.0027214     0.575            8.762 
-0.0027214     0.585            8.939 
-0.0027214     0.595            9.201 
-0.0027214     0.605            9.565 
-0.0027214     0.615           10.049 
-0.0027214     0.625           10.670 
-0.0027214     0.635           11.449 
-0.0027214     0.645           12.406 
-0.0027214     0.655           13.559 
-0.0027214     0.665           14.928 
-0.0027214     0.675           16.532 
-0.0027214     0.685           18.391 
-0.0027214     0.695           20.520 
-0.0027214     0.705           22.938 
-0.0027214     0.715           25.660 
-0.0027214     0.725           28.699 
-0.0027214     0.735           32.069 
-0.0027214     0.745           35.781 
-0.0027574     0.245           41.271 
-0.0027574     0.255           37.360 
-0.0027574     0.265           33.795 
-0.0027574     0.275           30.565 
-0.0027574     0.285           27.658 
-0.0027574     0.295           25.058 
-0.0027574     0.305           22.751 
-0.0027574     0.315           20.720 
-0.0027574     0.325           18.946 
-0.0027574     0.335           17.411 
-0.0027574     0.345           16.095 
-0.0027574     0.355           14.980 
-0.0027574     0.365           14.044 
-0.0027574     0.375           13.268 
-0.0027574     0.385           12.633 
-0.0027574     0.395           12.120 
-0.0027574     0.405           11.710 
-0.0027574     0.415           11.386 
-0.0027574     0.425           11.132 
-0.0027574     0.435           10.933 
-0.0027574     0.445           10.776 
-0.0027574     0.455           10.650 
-0.0027574     0.465           10.545 
-0.0027574     0.475           10.454 
-0.0027574     0.485           10.370 
-0.0027574     0.495           10.291 
-0.0027574     0.505           10.215 
-0.0027574     0.515           10.144 
-0.0027574     0.525           10.079 
-0.0027574     0.535           10.027 
-0.0027574     0.545            9.995 
-0.0027574     0.555            9.991 
-0.0027574     0.565           10.027 
-0.0027574     0.575           10.116 
-0.0027574     0.585           10.272 
-0.0027574     0.595           10.511 
-0.0027574     0.605           10.850 
-0.0027574     0.615           11.306 
-0.0027574     0.625           11.899 
-0.0027574     0.635           12.648 
-0.0027574     0.645           13.573 
-0.0027574     0.655           14.692 
-0.0027574     0.665           16.026 
-0.0027574     0.675           17.594 
-0.0027574     0.685           19.414 
-0.0027574     0.695           21.505 
-0.0027574     0.705           23.882 
-0.0027574     0.715           26.562 
-0.0027574     0.725           29.559 
-0.0027574     0.735           32.886 
-0.0027574     0.745           36.553 
-0.0027934     0.245           42.362 
-0.0027934     0.255           38.486 
-0.0027934     0.265           34.955 
-0.0027934     0.275           31.758 
-0.0027934     0.285           28.883 
-0.0027934     0.295           26.315 
-0.0027934     0.305           24.037 
-0.0027934     0.315           22.034 
-0.0027934     0.325           20.287 
-0.0027934     0.335           18.778 
-0.0027934     0.345           17.487 
-0.0027934     0.355           16.393 
-0.0027934     0.365           15.479 
-0.0027934     0.375           14.723 
-0.0027934     0.385           14.105 
-0.0027934     0.395           13.608 
-0.0027934     0.405           13.212 
-0.0027934     0.415           12.900 
-0.0027934     0.425           12.656 
-0.0027934     0.435           12.466 
-0.0027934     0.445           12.316 
-0.0027934     0.455           12.194 
-0.0027934     0.465           12.092 
-0.0027934     0.475           12.001 
-0.0027934     0.485           11.917 
-0.0027934     0.495           11.834 
-0.0027934     0.505           11.753 
-0.0027934     0.515           11.674 
-0.0027934     0.525           11.600 
-0.0027934     0.535           11.536 
-0.0027934     0.545           11.490 
-0.0027934     0.555           11.471 
-0.0027934     0.565           11.489 
-0.0027934     0.575           11.558 
-0.0027934     0.585           11.693 
-0.0027934     0.595           11.908 
-0.0027934     0.605           12.221 
-0.0027934     0.615           12.650 
-0.0027934     0.625           13.214 
-0.0027934     0.635           13.931 
-0.0027934     0.645           14.823 
-0.0027934     0.655           15.908 
-0.0027934     0.665           17.206 
-0.0027934     0.675           18.736 
-0.0027934     0.685           20.517 
-0.0027934     0.695           22.567 
-0.0027934     0.705           24.902 
-0.0027934     0.715           27.539 
-0.0027934     0.725           30.492 
-0.0027934     0.735           33.773 
-0.0027934     0.745           37.395 
-0.0028294     0.245           43.519 
-0.0028294     0.255           39.679 
-0.0028294     0.265           36.185 
-0.0028294     0.275           33.023 
-0.0028294     0.285           30.181 
-0.0028294     0.295           27.645 
-0.0028294     0.305           25.399 
-0.0028294     0.315           23.425 
-0.0028294     0.325           21.707 
-0.0028294     0.335           20.224 
-0.0028294     0.345           18.958 
-0.0028294     0.355           17.888 
-0.0028294     0.365           16.995 
-0.0028294     0.375           16.259 
-0.0028294     0.385           15.660 
-0.0028294     0.395           15.179 
-0.0028294     0.405           14.797 
-0.0028294     0.415           14.498 
-0.0028294     0.425           14.265 
-0.0028294     0.435           14.084 
-0.0028294     0.445           13.941 
-0.0028294     0.455           13.824 
-0.0028294     0.465           13.725 
-0.0028294     0.475           13.635 
-0.0028294     0.485           13.549 
-0.0028294     0.495           13.463 
-0.0028294     0.505           13.377 
-0.0028294     0.515           13.290 
-0.0028294     0.525           13.206 
-0.0028294     0.535           13.131 
-0.0028294     0.545           13.071 
-0.0028294     0.555           13.036 
-0.0028294     0.565           13.037 
-0.0028294     0.575           13.086 
-0.0028294     0.585           13.198 
-0.0028294     0.595           13.390 
-0.0028294     0.605           13.677 
-0.0028294     0.615           14.078 
-0.0028294     0.625           14.612 
-0.0028294     0.635           15.298 
-0.0028294     0.645           16.155 
-0.0028294     0.655           17.205 
-0.0028294     0.665           18.466 
-0.0028294     0.675           19.957 
-0.0028294     0.685           21.698 
-0.0028294     0.695           23.706 
-0.0028294     0.705           25.998 
-0.0028294     0.715           28.591 
-0.0028294     0.725           31.498 
-0.0028294     0.735           34.732 
-0.0028294     0.745           38.306 
-0.0028654     0.245           44.744 
-0.0028654     0.255           40.944 
-0.0028654     0.265           37.487 
-0.0028654     0.275           34.361 
-0.0028654     0.285           31.555 
-0.0028654     0.295           29.052 
-0.0028654     0.305           26.838 
-0.0028654     0.315           24.895 
-0.0028654     0.325           23.206 
-0.0028654     0.335           21.751 
-0.0028654     0.345           20.510 
-0.0028654     0.355           19.465 
-0.0028654     0.365           18.594 
-0.0028654     0.375           17.879 
-0.0028654     0.385           17.298 
-0.0028654     0.395           16.834 
-0.0028654     0.405           16.468 
-0.0028654     0.415           16.182 
-0.0028654     0.425           15.960 
-0.0028654     0.435           15.788 
-0.0028654     0.445           15.652 
-0.0028654     0.455           15.541 
-0.0028654     0.465           15.444 
-0.0028654     0.475           15.355 
-0.0028654     0.485           15.268 
-0.0028654     0.495           15.179 
-0.0028654     0.505           15.087 
-0.0028654     0.515           14.993 
-0.0028654     0.525           14.900 
-0.0028654     0.535           14.813 
-0.0028654     0.545           14.740 
-0.0028654     0.555           14.689 
-0.0028654     0.565           14.671 
-0.0028654     0.575           14.701 
-0.0028654     0.585           14.791 
-0.0028654     0.595           14.958 
-0.0028654     0.605           15.219 
-0.0028654     0.615           15.591 
-0.0028654     0.625           16.095 
-0.0028654     0.635           16.748 
-0.0028654     0.645           17.572 
-0.0028654     0.655           18.586 
-0.0028654     0.665           19.808 
-0.0028654     0.675           21.260 
-0.0028654     0.685           22.960 
-0.0028654     0.695           24.925 
-0.0028654     0.705           27.173 
-0.0028654     0.715           29.719 
-0.0028654     0.725           32.579 
-0.0028654     0.735           35.765 
-0.0028654     0.745           39.289 
-0.0029014     0.245           46.040 
-0.0029014     0.255           42.280 
-0.0029014     0.265           38.862 
-0.0029014     0.275           35.775 
-0.0029014     0.285           33.005 
-0.0029014     0.295           30.537 
-0.0029014     0.305           28.357 
-0.0029014     0.315           26.446 
-0.0029014     0.325           24.786 
-0.0029014     0.335           23.360 
-0.0029014     0.345           22.146 
-0.0029014     0.355           21.126 
-0.0029014     0.365           20.278 
-0.0029014     0.375           19.584 
-0.0029014     0.385           19.023 
-0.0029014     0.395           18.576 
-0.0029014     0.405           18.225 
-0.0029014     0.415           17.953 
-0.0029014     0.425           17.743 
-0.0029014     0.435           17.580 
-0.0029014     0.445           17.451 
-0.0029014     0.455           17.345 
-0.0029014     0.465           17.252 
-0.0029014     0.475           17.164 
-0.0029014     0.485           17.076 
-0.0029014     0.495           16.984 
-0.0029014     0.505           16.887 
-0.0029014     0.515           16.786 
-0.0029014     0.525           16.683 
-0.0029014     0.535           16.584 
-0.0029014     0.545           16.497 
-0.0029014     0.555           16.430 
-0.0029014     0.565           16.395 
-0.0029014     0.575           16.404 
-0.0029014     0.585           16.471 
-0.0029014     0.595           16.614 
-0.0029014     0.605           16.848 
-0.0029014     0.615           17.192 
-0.0029014     0.625           17.665 
-0.0029014     0.635           18.285 
-0.0029014     0.645           19.074 
-0.0029014     0.655           20.051 
-0.0029014     0.665           21.235 
-0.0029014     0.675           22.646 
-0.0029014     0.685           24.303 
-0.0029014     0.695           26.225 
-0.0029014     0.705           28.427 
-0.0029014     0.715           30.926 
-0.0029014     0.725           33.737 
-0.0029014     0.735           36.872 
-0.0029014     0.745           40.345 
-0.0029374     0.245           47.406 
-0.0029374     0.255           43.688 
-0.0029374     0.265           40.311 
-0.0029374     0.275           37.263 
-0.0029374     0.285           34.531 
-0.0029374     0.295           32.100 
-0.0029374     0.305           29.954 
-0.0029374     0.315           28.076 
-0.0029374     0.325           26.448 
-0.0029374     0.335           25.051 
-0.0029374     0.345           23.864 
-0.0029374     0.355           22.870 
-0.0029374     0.365           22.046 
-0.0029374     0.375           21.374 
-0.0029374     0.385           20.833 
-0.0029374     0.395           20.404 
-0.0029374     0.405           20.069 
-0.0029374     0.415           19.810 
-0.0029374     0.425           19.612 
-0.0029374     0.435           19.459 
-0.0029374     0.445           19.337 
-0.0029374     0.455           19.237 
-0.0029374     0.465           19.147 
-0.0029374     0.475           19.061 
-0.0029374     0.485           18.972 
-0.0029374     0.495           18.877 
-0.0029374     0.505           18.774 
-0.0029374     0.515           18.666 
-0.0029374     0.525           18.554 
-0.0029374     0.535           18.443 
-0.0029374     0.545           18.342 
-0.0029374     0.555           18.259 
-0.0029374     0.565           18.205 
-0.0029374     0.575           18.194 
-0.0029374     0.585           18.239 
-0.0029374     0.595           18.356 
-0.0029374     0.605           18.564 
-0.0029374     0.615           18.878 
-0.0029374     0.625           19.320 
-0.0029374     0.635           19.907 
-0.0029374     0.645           20.660 
-0.0029374     0.655           21.599 
-0.0029374     0.665           22.744 
-0.0029374     0.675           24.113 
-0.0029374     0.685           25.727 
-0.0029374     0.695           27.603 
-0.0029374     0.705           29.758 
-0.0029374     0.715           32.208 
-0.0029374     0.725           34.969 
-0.0029374     0.735           38.053 
-0.0029374     0.745           41.472 
-0.0029734     0.245           48.837 
-0.0029734     0.255           45.163 
-0.0029734     0.265           41.828 
-0.0029734     0.275           38.821 
-0.0029734     0.285           36.129 
-0.0029734     0.295           33.735 
-0.0029734     0.305           31.625 
-0.0029734     0.315           29.781 
-0.0029734     0.325           28.185 
-0.0029734     0.335           26.819 
-0.0029734     0.345           25.661 
-0.0029734     0.355           24.693 
-0.0029734     0.365           23.894 
-0.0029734     0.375           23.244 
-0.0029734     0.385           22.723 
-0.0029734     0.395           22.313 
-0.0029734     0.405           21.994 
-0.0029734     0.415           21.750 
-0.0029734     0.425           21.563 
-0.0029734     0.435           21.420 
-0.0029734     0.445           21.307 
-0.0029734     0.455           21.212 
-0.0029734     0.465           21.126 
-0.0029734     0.475           21.041 
-0.0029734     0.485           20.951 
-0.0029734     0.495           20.853 
-0.0029734     0.505           20.746 
-0.0029734     0.515           20.630 
-0.0029734     0.525           20.508 
-0.0029734     0.535           20.386 
-0.0029734     0.545           20.271 
-0.0029734     0.555           20.171 
-0.0029734     0.565           20.099 
-0.0029734     0.575           20.067 
-0.0029734     0.585           20.089 
-0.0029734     0.595           20.181 
-0.0029734     0.605           20.361 
-0.0029734     0.615           20.646 
-0.0029734     0.625           21.055 
-0.0029734     0.635           21.608 
-0.0029734     0.645           22.325 
-0.0029734     0.655           23.225 
-0.0029734     0.665           24.329 
-0.0029734     0.675           25.656 
-0.0029734     0.685           27.225 
-0.0029734     0.695           29.055 
-0.0029734     0.705           31.161 
-0.0029734     0.715           33.561 
-0.0029734     0.725           36.270 
-0.0029734     0.735           39.300 
-0.0029734     0.745           42.664 
-0.0030094     0.245           50.327 
-0.0030094     0.255           46.699 
-0.0030094     0.265           43.409 
-0.0030094     0.275           40.444 
-0.0030094     0.285           37.792 
-0.0030094     0.295           35.437 
-0.0030094     0.305           33.364 
-0.0030094     0.315           31.556 
-0.0030094     0.325           29.993 
-0.0030094     0.335           28.658 
-0.0030094     0.345           27.529 
-0.0030094     0.355           26.588 
-0.0030094     0.365           25.814 
-0.0030094     0.375           25.188 
-0.0030094     0.385           24.688 
-0.0030094     0.395           24.297 
-0.0030094     0.405           23.995 
-0.0030094     0.415           23.765 
-0.0030094     0.425           23.591 
-0.0030094     0.435           23.458 
-0.0030094     0.445           23.353 
-0.0030094     0.455           23.264 
-0.0030094     0.465           23.182 
-0.0030094     0.475           23.098 
-0.0030094     0.485           23.008 
-0.0030094     0.495           22.907 
-0.0030094     0.505           22.794 
-0.0030094     0.515           22.671 
-0.0030094     0.525           22.539 
-0.0030094     0.535           22.405 
-0.0030094     0.545           22.276 
-0.0030094     0.555           22.160 
-0.0030094     0.565           22.069 
-0.0030094     0.575           22.015 
-0.0030094     0.585           22.014 
-0.0030094     0.595           22.081 
-0.0030094     0.605           22.232 
-0.0030094     0.615           22.487 
-0.0030094     0.625           22.863 
-0.0030094     0.635           23.382 
-0.0030094     0.645           24.061 
-0.0030094     0.655           24.923 
-0.0030094     0.665           25.985 
-0.0030094     0.675           27.268 
-0.0030094     0.685           28.792 
-0.0030094     0.695           30.573 
-0.0030094     0.705           32.630 
-0.0030094     0.715           34.978 
-0.0030094     0.725           37.633 
-0.0030094     0.735           40.608 
-0.0030094     0.745           43.915 
-0.0030454     0.245           51.872 
-0.0030454     0.255           48.292 
-0.0030454     0.265           45.047 
-0.0030454     0.275           42.126 
-0.0030454     0.285           39.516 
-0.0030454     0.295           37.201 
-0.0030454     0.305           35.166 
-0.0030454     0.315           33.394 
-0.0030454     0.325           31.866 
-0.0030454     0.335           30.562 
-0.0030454     0.345           29.464 
-0.0030454     0.355           28.551 
-0.0030454     0.365           27.803 
-0.0030454     0.375           27.200 
-0.0030454     0.385           26.722 
-0.0030454     0.395           26.350 
-0.0030454     0.405           26.066 
-0.0030454     0.415           25.851 
-0.0030454     0.425           25.690 
-0.0030454     0.435           25.567 
-0.0030454     0.445           25.471 
-0.0030454     0.455           25.388 
-0.0030454     0.465           25.309 
-0.0030454     0.475           25.227 
-0.0030454     0.485           25.136 
-0.0030454     0.495           25.033 
-0.0030454     0.505           24.915 
-0.0030454     0.515           24.784 
-0.0030454     0.525           24.643 
-0.0030454     0.535           24.497 
-0.0030454     0.545           24.353 
-0.0030454     0.555           24.220 
-0.0030454     0.565           24.110 
-0.0030454     0.575           24.035 
-0.0030454     0.585           24.010 
-0.0030454     0.595           24.050 
-0.0030454     0.605           24.173 
-0.0030454     0.615           24.397 
-0.0030454     0.625           24.740 
-0.0030454     0.635           25.223 
-0.0030454     0.645           25.865 
-0.0030454     0.655           26.685 
-0.0030454     0.665           27.705 
-0.0030454     0.675           28.944 
-0.0030454     0.685           30.420 
-0.0030454     0.695           32.153 
-0.0030454     0.705           34.158 
-0.0030454     0.715           36.454 
-0.0030454     0.725           39.054 
-0.0030454     0.735           41.972 
-0.0030454     0.745           45.220 
-0.0030814     0.245           53.470 
-0.0030814     0.255           49.938 
-0.0030814     0.265           46.740 
-0.0030814     0.275           43.864 
-0.0030814     0.285           41.297 
